structure_id,bridge_no,latitude,longitude
0013283A,5/327,47.03566633,122.8869441
0005296A,5/327E-N,47.03674133,122.8873052
0005296B,5/327S-W,47.03676077,122.8870497
0012835E,5/328E-N,47.03580522,122.8858608
0008264A,5/33,45.852,122.7034444
0012503A,5/330,47.03997188,122.8691104
0005455A,5/332,47.04113855,122.8524222
0013087A,5/332W-S,47.04171633,122.8516528
0013197A,5/333,47.044583,122.844333
0017126A,5/334P,47.04538022,122.8391691
0012964A,5/335,47.04624966,122.8337219
0016031A,5/335.25,47.04469411,122.8338886
0013130A,5/336,47.04713855,122.8232216
0008100B,5/337E,47.04866633,122.8187493
0008100A,5/337W,47.04863855,122.8192216
0008100C,5/339,47.05791666,122.7968052
0008100D,5/341,47.06605555,122.7414997
0008100E,5/342E,47.067916,122.7200827
0008100G,5/342N-E,47.06733266,122.7208327
0008100F,5/342W,47.06813544,122.7194632
0008100H,5/342W-S,47.06880488,122.7195827
0012137A,5/344E,47.06883266,122.7109722
0008100I,5/344S-E,47.06833266,122.7155
0008100J,5/344W,47.06911044,122.7113333
0002069A,5/345E,47.07128544,122.7048639
0008116A,5/345W,47.07152711,122.7049444
0002473A,5/36E,45.87172155,122.7101389
0008264B,5/36W,45.87152711,122.7104444
00200115,5/37.25,45.88488855,122.728916
0012156C,5/3S-E,45.62302711,122.6697771
0012137B,5/402E,47.07511044,122.6949719
0008134A,5/402W,47.07563822,122.6965552
0008134D,5/406,47.08280488,122.6701382
0006274A,5/406A,47.08319377,122.6702493
0014963A,5/407,47.08764688,122.644583
0005284A,5/407.5,47.08967744,122.6370663
0014963D,5/407A,47.08572466,122.6437163
0014963C,5/407S-N,47.08919411,122.6406386
0014963B,5/407S-S,47.08757744,122.6479913
0005394A,5/408,47.093083,122.6239132
0005394B,5/409,47.09519411,122.6168882
0008264C,5/40E,45.889358,122.7326354
0002559A,5/40W,45.88873577,122.7326327
0008580A,5/411E,47.104,122.5886108
0008580B,5/411NCD,47.10386111,122.5885552
0004495B,5/411SCD,47.10433333,122.5887774
0004495A,5/411W,47.10419444,122.5887219
0004495C,5/413,47.11858266,122.5570833
0004495D,5/414,47.127166,122.5425552
0005943A,5/415,47.13711077,122.5256104
0005943B,5/415A,47.13749966,122.5258882
0005523A,5/416,47.14163855,122.5151944
0005523B,5/417,47.14499966,122.5066667
0005582A,5/418,47.147558,122.5044194
0005523C,5/419,47.15058055,122.4991774
0005651A,5/421,47.15976388,122.4835886
0009574A,5/421A,47.16004166,122.4835719
0005667A,5/424E,47.17011044,122.4725549
0005667B,5/424W,47.17011044,122.4728882
0005667C,5/425,47.181066,122.4652194
0005723A,5/426,47.190608,122.4627361
0013207A,5/426A,47.19041633,122.4631389
0005831A,5/428,47.20658333,122.4620556
0015935A,5/430,47.22292433,122.464075
0015935B,5/430.5P,47.22430488,122.4645833
0006145B,5/433,47.22946044,122.4624528
0017594A,5/433N-N,47.22849933,122.4611111
0006145C,5/434,47.230291,122.4609944
0017594C,5/435S-E,47.23413855,122.4633889
0017594B,5/435S-N,47.23144377,122.4581389
0006088B,5/437,47.23031044,122.450575
0016958A,5/437NCD,47.23005488,122.4513333
0016958B,5/439,47.23111044,122.4430552
0016958C,5/440,47.23194377,122.440833
0007505E,5/442A,47.23402744,122.4354719
0018607A,5/444,47.23386911,122.4341941
0018607C,5/445E,47.23294377,122.4334719
0007326A,5/445HOV,47.23313822,122.4337774
0007326C,5/445N-N,47.23277711,122.4331382
0007326D,5/445S-S,47.23316044,122.431916
0007326B,5/445W,47.23327711,122.4339997
0007505C,5/446S-S,47.23391633,122.4313382
0006979A,5/448,47.23480522,122.4278049
0006853A,5/451,47.23886077,122.4168049
0006792A,5/452E,47.23897188,122.4109722
0006792B,5/452W,47.23922188,122.4110278
0006821A,5/453,47.23955522,122.4076944
0006979C,5/454N-N,47.23921911,122.4059111
0018670A,5/454N-N,47.23921911,122.4059111
0006979B,5/455,47.23941633,122.4047778
0006979H,5/455E-N,47.23936077,122.4045556
0006979D,5/455N-N,47.239083,122.4045
0006979E,5/455S-N,47.23999133,122.4041861
0006613A,5/456E,47.24044966,122.4010333
0006613B,5/456W,47.23997188,122.4029167
0006480A,5/457,47.24172188,122.3857497
0006379A,5/458E,47.24036077,122.3743327
0006379B,5/458W,47.24077744,122.3744993
0006361A,5/461,47.24388855,122.336083
0006480C,5/461A,47.24466633,122.3362774
0006361B,5/462E,47.24669411,122.3336386
0006361C,5/462W,47.24691633,122.3336108
0006443A,5/463,47.25125,122.3333049
0006379C,5/464E,47.25313611,122.3319132
0006379D,5/464W,47.252,122.3327771
0012156D,5/4S-E,45.62480488,122.669916
0011193A,5/5,45.62869377,122.6671938
0006094A,5/501,47.26538888,122.3226938
0006078A,5/503E,47.28936077,122.3064444
0006078B,5/503W,47.28936077,122.3069722
0006094B,5/504E,47.30033611,122.3027861
0006094C,5/504W,47.3004,122.3032083
0006262A,5/505,47.31513888,122.2981941
0016757A,5/505.7,47.31779933,122.2971747
0006124A,5/506E,47.32674933,122.2939441
0006124B,5/506W,47.32700488,122.2943719
0006313A,5/507E,47.34311077,122.2925552
0006313B,5/507W,47.34316633,122.2928886
0006207B,5/508E,47.35233333,122.2954997
0006207A,5/508W,47.35205555,122.2956941
0006313C,5/509E,47.35763888,122.2963052
0006313D,5/509W,47.35766666,122.2968052
0006186A,5/510E,47.36944377,122.2933052
0006186B,5/510W,47.36949933,122.2938052
0006820A,5/511E,47.39124966,122.2906941
0006820B,5/511W,47.39138855,122.2910552
0007090A,5/513,47.40819444,122.292583
0007075A,5/515,47.42084933,122.2875441
0007090B,5/516E,47.43119377,122.2714438
0007090C,5/516W,47.43119377,122.2714716
0007459A,5/517A,47.43416633,122.2712216
0007401A,5/518,47.44388855,122.2686104
0007401B,5/519E,47.45166666,122.2633333
0007401C,5/520E,47.45766666,122.2638056
0014812A,5/520E-S,47.45811111,122.2645833
0014621A,5/520HOV,47.45736111,122.2639167
0007401D,5/520W,47.4575,122.2642222
0007401E,5/521E,47.46147222,122.2635833
0007401H,5/521N-W,47.46180555,122.2627778
0007401F,5/521W,47.46122222,122.2650556
0014621B,5/522HOV,47.46108333,122.2639167
0007401I,5/522S-E,47.46247222,122.2653333
0007401G,5/522W,47.46227777,122.2655278
0007442A,5/523E,47.46485555,122.2656861
0014621C,5/523HOV,47.46480555,122.2662222
0007442C,5/523S-W,47.465,122.266666
0007442B,5/523W,47.46491666,122.2668604
0007618A,5/524,47.474166,122.270166
0007618C,5/525.5E,47.483333,122.2705271
0014543A,5/525.5H,47.48341633,122.2707216
0007618D,5/525.5W,47.483583,122.2709716
0007618B,5/525N-N,47.48194377,122.2710271
0007843A,5/526.1,47.48905522,122.2640556
0007171A,5/526E,47.48691633,122.26615
0007171B,5/526W,47.48693855,122.2665694
0007618E,5/528,47.50780555,122.2814993
0007617A,5/530E,47.5135,122.2854997
0007617B,5/530W,47.51361111,122.2852497
0007617C,5/531E,47.53047155,122.2936941
0007617D,5/531W,47.52999933,122.293333
0008568A,5/532.1,47.54486077,122.3060556
