structure_id,bridge_no,latitude,longitude,pga
0006800G,5/564A,47.6259,122.329,0.42349
0006800H,5/564RSW,47.6295,122.328,0.421388
0006303A,5/566E,47.6321,122.324,0.41968
0006303C,5/566E-S,47.6368,122.324,0.417147
0006303B,5/566N-E,47.6332,122.323,0.419008
0006303D,5/566R,47.6318,122.325,0.41992
0006800F,5/566S-W,47.6295,122.328,0.421446
0006800A,5/566W,47.6217,122.327,0.425333
0006470B,5/568S-E,47.6435,122.323,0.41364
0006470A,5/569,47.6432,122.323,0.413818
0006080A,5/570,47.6469,122.322,0.411756
0006085A,5/570RNE,47.6568,122.322,0.408374
0006111A,5/572,47.6613,122.323,0.40728
0006304A,5/573N-N,47.6625,122.321,0.406816
0006304B,5/573S-S,47.663,122.322,0.406837
0006111B,5/574,47.665,122.323,0.406333
0006304C,5/577E-S,47.6743,122.321,0.403796
0006286A,5/578E,47.6739,122.321,0.403866
0006286C,5/578R,47.674,122.321,0.403869
0006286B,5/578W,47.6743,122.321,0.403809
00200411,5/579,47.675,122.323,0.403802
0006911A,5/580,47.6798,122.321,0.402373
0006911B,5/580N-N,47.6794,122.32,0.402369
0006911C,5/580RNE,47.6805,122.321,0.402139
0007156A,5/582,47.6837,122.323,0.401464
0007156B,5/583,47.6867,122.326,0.400929
0007156E,5/584E-S,47.6901,122.33,0.400336
0007156D,5/584N-W,47.6899,122.329,0.400278
0007156C,5/585,47.6959,122.33,0.398765
0007156F,5/587E,47.7018,122.329,0.397397
0012197A,5/588E,47.7083,122.33,0.396731
0014539A,5/588N-N,47.7084,122.329,0.396687
0007156I,5/588SCD,47.7084,122.33,0.396775
0012197B,5/588W,47.7084,122.33,0.396752
0007270A,5/589,47.7139,122.328,0.39591
0007270B,5/590,47.7231,122.325,0.394649
0007270C,5/593E,47.741,122.329,0.392618
0007270D,5/593W,47.741,122.329,0.39264
0013302A,5/594,47.747,122.33,0.391875
0007299A,5/595E,47.7557,122.329,0.391822
0007299B,5/595W,47.7557,122.33,0.391844
0007299C,5/596,47.7632,122.324,0.391902
0007299D,5/598P,47.7702,122.322,0.392133
0007071A,5/599E,47.7774,122.318,0.392281
0007071C,5/599NCD,47.7774,122.317,0.392262
0014326C,5/599SCD,47.7774,122.318,0.392322
0007071B,5/599W,47.7774,122.318,0.392303
0011193E,5/6.5F,45.6324,122.664,0.262186
0014326A,5/601N-E,47.7827,122.316,0.392489
0014326B,5/601SCD,47.784,122.317,0.392583
0007227A,5/602,47.7849,122.317,0.392584
0017649A,5/602P,47.7864,122.316,0.392574
0007071D,5/603,47.7921,122.317,0.392654
0012790A,5/605,47.7995,122.315,0.392709
0007071G,5/607E,47.8063,122.306,0.393686
0007071F,5/607W,47.8063,122.307,0.393702
0007227B,5/608E,47.8078,122.303,0.393894
0007227C,5/608W,47.8082,122.303,0.393971
0016469A,5/609.5,47.8138,122.295,0.394959
0007118A,5/609E,47.8135,122.293,0.394918
0016469B,5/609HOV,47.8137,122.293,0.394958
0007118B,5/609W,47.814,122.293,0.395005
00200418,5/610P,47.8214,122.279,0.396453
00000KMA,5/611,47.827,122.269,0.39757
0007134A,5/612E,47.8309,122.262,0.398341
0011598C,5/612W,47.832,122.263,0.398534
0011598D,5/613,47.8346,122.262,0.399014
0011561A,5/615,47.8498,122.258,0.401842
0016859A,5/616,47.8533,122.256,0.402059
0017025A,5/618P,47.8857,122.229,0.400066
0017163B,5/620E,47.8964,122.215,0.398222
0017163A,5/620W,47.8964,122.217,0.398495
0008707A,5/622N-W,47.9161,122.206,0.391632
0007116A,5/622S-S,47.9168,122.208,0.391814
0008707B,5/623S-W,47.921,122.208,0.390322
0007889A,5/624,47.9299,122.199,0.38568
0016991D,5/626.5A,47.9495,122.193,0.377974
0003842A,5/626E,47.9483,122.198,0.379791
0008132A,5/626W,47.9483,122.199,0.37992
0016991A,5/628N-N,47.9587,122.199,0.376398
0016991C,5/628W,47.9595,122.2,0.376352
0003842B,5/629A,47.9613,122.201,0.375974
0016991L,5/630,47.9641,122.199,0.374611
0008132I,5/630A,47.9644,122.201,0.375068
0008132E,5/631E,47.9663,122.199,0.373651
0008132F,5/631W,47.9667,122.199,0.373664
0008132G,5/632E,47.9687,122.197,0.37241
0008132H,5/632W,47.9691,122.197,0.372245
0008090A,5/633E,47.9697,122.196,0.37166
0008090B,5/633W,47.9698,122.196,0.37167
0007888C,5/635E,47.9766,122.19,0.367885
0007888D,5/635W,47.9766,122.191,0.367957
0007888E,5/636E,47.9789,122.19,0.366858
0007888I,5/636N-E,47.9789,122.189,0.366838
0007888F,5/636W,47.9789,122.19,0.366989
0008085C,5/638E,47.9808,122.187,0.365575
0008085D,5/638W,47.9808,122.188,0.36591
0007888G,5/640E,47.9816,122.187,0.365179
0007888H,5/640W,47.9816,122.187,0.365277
0008085F,5/642,47.9869,122.183,0.362464
0008256A,5/645E,47.9918,122.181,0.3602
0008256B,5/645W,47.992,122.181,0.360174
0008226A,5/646,48.0075,122.175,0.353823
0008226B,5/647E,48.0231,122.176,0.350261
0008226C,5/647W,48.0231,122.176,0.350327
0008226D,5/648E,48.035,122.178,0.347288
0008226E,5/648W,48.0349,122.178,0.347327
0008372A,5/649E,48.0401,122.179,0.345993
0008372B,5/649W,48.04,122.179,0.346069
0008400A,5/650E,48.0433,122.181,0.345365
0004196A,5/650W,48.0434,122.181,0.345408
0008753A,5/651E,48.0517,122.184,0.343849
0004178A,5/651W,48.0519,122.185,0.343892
0004352A,5/653E,48.0647,122.185,0.341541
0008753B,5/653W,48.0651,122.185,0.34151
0014655A,5/654,48.0757,122.185,0.339213
0014655B,5/654A,48.0756,122.179,0.338249
0008941A,5/655,48.0976,122.185,0.334273
0008941B,5/656,48.1,122.185,0.333791
00200507,5/656,48.1,122.185,0.333791
0008632A,5/657,48.1184,122.186,0.331376
0008632B,5/658E,48.1238,122.185,0.330462
0008632C,5/658W,48.1243,122.185,0.330422
0008631A,5/662,48.1766,122.194,0.324887
0008631B,5/663E,48.1792,122.195,0.324746
0005440A,5/663W,48.1793,122.195,0.32478
0008791A,5/670E,48.1964,122.209,0.325126
0001652A,5/670W,48.1974,122.21,0.325165
0009130A,5/671,48.2099,122.217,0.325321
0009130B,5/672E,48.2142,122.217,0.325209
0004736B,5/672W,48.2133,122.218,0.325423
0005423A,5/673E,48.2386,122.241,0.327581
0008879A,5/673W,48.2386,122.241,0.327683
0005423B,5/674E,48.2677,122.268,0.331473
0008879B,5/674W,48.2674,122.269,0.331636
0008879C,5/675E,48.2874,122.291,0.335157
0005422A,5/675W,48.2873,122.292,0.335247
0011193B,5/6E,45.6313,122.665,0.262378
0011193D,5/6F,45.6312,122.665,0.262365
0011193C,5/6W,45.6314,122.665,0.262382
0009260A,5/701,48.3077,122.316,0.339829
0018840B,5/701.7W,48.3189,122.326,0.341835
0008650A,5/702E,48.3234,122.329,0.342101
0005422B,5/702W,48.3232,122.329,0.342198
0009392B,5/703.5C,48.381,122.335,0.335693
0008650C,5/703C,48.345,122.335,0.341586
0009392A,5/704,48.3829,122.334,0.335075
0009563A,5/706,48.3995,122.331,0.331258
0004535A,5/707,48.4066,122.331,0.33007
0004563A,5/708,48.4173,122.333,0.328326
0016793A,5/709,48.4207,122.336,0.327978
0004768A,5/710,48.4255,122.338,0.327208
0004795A,5/711,48.4357,122.341,0.32542
0004794A,5/712,48.4433,122.341,0.323789
0009547A,5/712.5,48.4522,122.342,0.322061
0004795B,5/713E,48.4588,122.341,0.320862
0004795C,5/713W,48.4588,122.342,0.320886
0004833A,5/714,48.4705,122.342,0.318691
0017484B,5/714S-E,48.4678,122.344,0.31945
0007216A,5/716E,48.4931,122.335,0.313659
0007216B,5/716W,48.4931,122.336,0.31369
0007127A,5/717,48.5078,122.34,0.311761
0007124A,5/718E,48.5144,122.343,0.311177
0007124B,5/718W,48.5147,122.343,0.31119
0007216C,5/719E,48.5188,122.346,0.310817
0007216D,5/719W,48.519,122.346,0.310837
0007141A,5/720E,48.5241,122.349,0.310383
0007141B,5/720W,48.524,122.349,0.310417
0007086A,5/722,48.5576,122.35,0.306088
0007260A,5/724E,48.6093,122.348,0.30089
0007260B,5/724W,48.6089,122.348,0.300934
0007260C,5/725,48.6216,122.357,0.300743
0007260D,5/726E,48.6414,122.363,0.299653
0007260E,5/726W,48.6414,122.363,0.299688
0011193F,5/7E,45.6344,122.663,0.261922
0011193H,5/7F,45.6342,122.663,0.261917
0011193G,5/7W,45.6344,122.663,0.26193
0011978A,5/8,45.6387,122.663,0.261418
0007260F,5/801E,48.6483,122.366,0.299298
0007260G,5/801W,48.6482,122.366,0.299353
0006928A,5/803,48.6876,122.399,0.299534
0006928B,5/806E,48.7137,122.475,0.304018
0006928C,5/806W,48.7139,122.475,0.304027
0TA0946A,5/807,48.7324,122.469,0.302226
0005790A,5/809E,48.7449,122.466,0.301019
0005790B,5/809W,48.7449,122.466,0.301039
0005463A,5/810E,48.7524,122.463,0.30021
0005463B,5/810W,48.7526,122.463,0.300202
0005525A,5/811E,48.7538,122.462,0.300071
0005525B,5/811W,48.7544,122.462,0.300053
0005468A,5/812,48.7563,122.462,0.299885
0005642A,5/813,48.7576,122.461,0.299787
0005663A,5/814,48.7631,122.462,0.299492
0006175A,5/817P,48.7681,122.462,0.2992
0005666A,5/820E,48.7776,122.47,0.299202
0005666B,5/820W,48.7783,122.471,0.299266
0005620A,5/822E,48.7828,122.486,0.299916
000000AB,5/822N-E,48.783,122.486,0.299919
0005620B,5/822W,48.7826,122.486,0.299928
0005704A,5/824E,48.785,122.502,0.30087
0005704B,5/824W,48.7839,122.503,0.301026
0009530A,5/825,48.7882,122.516,0.301801
0009268B,5/825.2,48.8172,122.549,0.30172
0009375A,5/825.5W,48.8307,122.562,0.301477
0009530B,5/825N-N,48.789,122.519,0.301911
0009268A,5/826,48.834,122.565,0.301455
0008302A,5/827,48.8468,122.576,0.301068
0004856A,5/828E,48.8528,122.582,0.300892
0008655A,5/828W,48.8527,122.582,0.300918
0006926A,5/829E,48.8578,122.586,0.300783
0006926B,5/829W,48.8577,122.587,0.300814
0006568A,5/830,48.8832,122.589,0.298582
0006857B,5/833,48.9234,122.639,0.297958
0006926C,5/834,48.9353,122.663,0.298247
0006926D,5/835,48.949,122.684,0.298174
0006570A,5/836E,48.9717,122.719,0.297952
0006570B,5/836W,48.9716,122.719,0.297978
0006926E,5/837N-W,48.9752,122.723,0.297809
0007057A,5/838,48.9792,122.729,0.29773
0006851A,5/840,48.99,122.742,0.297268
0006851B,5/841,48.994,122.746,0.297075
0007057B,5/842E,48.9977,122.752,0.297018
0007057C,5/842W,48.9974,122.752,0.297068
00200401,5/899,48.9993,122.754,0.296942
0010694A,5/9,45.6422,122.662,0.261085
0004552A,6/10,46.5821,123.619,0.414067
0001351A,6/101,46.5522,123.351,0.375539
0018572A,6/102,46.5525,123.33,0.373623
0018572B,6/103,46.5528,123.321,0.372774
0001558A,6/105,46.5695,123.304,0.374228
0001490A,6/108,46.5957,123.279,0.376931
0002340A,6/11,46.5558,123.611,0.409705
0001147A,6/112.25,46.6317,123.201,0.378768
0001046A,6/113.25,46.6095,123.171,0.371739
0017587A,6/115,46.6025,123.125,0.366862
0008757A,6/118,46.6271,123.062,0.368163
0000538A,6/119,46.6342,123.04,0.368338
0002340B,6/12,46.5582,123.597,0.407693
0002538B,6/123,46.6576,122.986,0.370182
0011430B,6/124,46.6603,122.979,0.370342
0010134A,6/124E-S,46.6591,122.979,0.370076
0005493A,6/13,46.5608,123.561,0.402949
0002340C,6/14,46.5599,123.551,0.401452
000000HM,6/15.25,46.5537,123.534,0.398256
0007013A,6/16,46.5433,123.512,0.393389
0003775A,6/20,46.548,123.451,0.385902
0000607A,6/21,46.5502,123.413,0.381532
0001229A,6/22,46.5466,123.386,0.37792
0003251A,6/4,46.663,123.69,0.435707
000000DW,6/5.25,46.6509,123.676,0.431903
0018464A,6/8,46.6124,123.64,0.421276
0002442A,7/10,46.5884,122.243,0.328156
0003404A,7/105,46.856,122.303,0.36122
0000572A,7/107,46.8633,122.342,0.364855
0000572B,7/108,46.8646,122.346,0.36534
0002315A,7/11.25,46.5965,122.236,0.329058
000000GI,7/111.25,46.9117,122.355,0.371012
0003222A,7/113,46.9488,122.357,0.374953
0018444A,7/115,47.0078,122.368,0.381895
0003470A,7/119,47.1371,122.435,0.402103
0001528A,7/12,46.6048,122.233,0.330053
0007024A,7/122,47.1581,122.434,0.40398
0008006A,7/130,47.2228,122.426,0.409823
0007505D,7/132N-N,47.2299,122.429,0.410892
0007326E,7/133N-N,47.2327,122.433,0.411776
0001233A,7/16.25,46.6666,122.198,0.336411
0003072A,7/24,46.7587,122.193,0.34591
0004348A,7/25,46.7619,122.192,0.34618
0002910A,7/9,46.5785,122.251,0.327059
000000JY,7/9.25,46.5808,122.25,0.327341
0005738B,8/104N,47.0566,123.013,0.450105
0005738A,8/104S,47.0565,123.013,0.450136
0006705D,8/10N,47.04,123.322,0.471007
0006705C,8/10S,47.0411,123.321,0.471189
0006665A,8/13.25,47.0487,123.306,0.471491
0006665B,8/14,47.055,123.276,0.470528
0016399A,8/15,47.0449,123.263,0.467914
0006296A,8/18A,47.0535,123.209,0.465742
0006705B,8/7N,47.0123,123.367,0.46917
0006705A,8/7S,47.0121,123.367,0.469138
0014810A,9/101,47.7822,122.145,0.389589
0016994A,9/102.25,47.7991,122.143,0.390812
0006347A,9/117,47.9055,122.109,0.369438
0005727A,9/118,47.9098,122.109,0.367974
0007157B,9/119,47.9157,122.109,0.365982
0007157C,9/121,47.9311,122.105,0.359927
0007157A,9/122,47.9328,122.102,0.358568
0003999A,9/124.25,47.9467,122.101,0.353651
0011399A,9/124.7,47.9517,122.101,0.352113
00200402,9/125,47.9774,122.103,0.34532
0005492A,9/128,48.0798,122.111,0.325665
0016347A,9/129.25,48.1831,122.129,0.315979
0006412A,9/130,48.19,122.128,0.315309
0015305A,9/132,48.2036,122.129,0.314402
0017267A,9/133,48.2171,122.137,0.314709
0018363B,9/133.75,48.2622,122.167,0.316588
0018363A,9/134,48.2647,122.166,0.316398
0018720A,9/203,48.3371,122.208,0.320562
0007851A,9/204,48.3442,122.206,0.320052
0004328A,9/205,48.3558,122.204,0.318841
0004281A,9/208,48.3999,122.238,0.317859
000000GJ,9/210,48.4307,122.264,0.316292
0009055A,9/211,48.4458,122.253,0.312162
0005773A,9/215,48.4835,122.243,0.305052
0006000A,9/216,48.4882,122.245,0.304557
0006000B,9/217,48.4966,122.247,0.303435
0003349A,9/222,48.5998,122.232,0.291197
0003349B,9/223,48.6018,122.233,0.291149
0018397A,9/301.25,48.6527,122.213,0.286254
0013566A,9/302C,48.6597,122.213,0.285999
0013111A,9/305,48.7195,122.203,0.283879
0003011A,9/306,48.7244,122.203,0.283896
0004281B,9/308,48.7718,122.202,0.285405
0004281C,9/309,48.7724,122.202,0.285448
0004281D,9/310,48.7792,122.2,0.285834
0004328B,9/311,48.7819,122.195,0.285789
0004542A,9/315,48.8088,122.2,0.288494
0003011B,9/351,48.8437,122.289,0.289934
0003078A,9/352,48.8497,122.288,0.289981
000000MY,9/354.25,48.8816,122.31,0.288868
0017078A,9/355.25,48.9811,122.269,0.282734
0017078B,9/356.25,48.9856,122.267,0.28224
0006578A,9/360,48.9967,122.265,0.280866
0001403A,10/142,47.1685,120.834,0.176227
0002222A,10/143,47.1655,120.818,0.17448
0001403B,10/145,47.1244,120.738,0.166477
0003180A,10/146,47.1244,120.736,0.166296
000000HZ,10/148.25,47.0978,120.69,0.161946
0001459A,10/149.25,47.0633,120.648,0.158446
0001367A,10/151,47.0381,120.616,0.155786
0001367B,10/152,47.0365,120.614,0.155576
0006011A,11/1,48.4852,122.338,0.315402
0000453A,11/10,48.6337,122.472,0.310099
0001620A,11/102,48.7163,122.502,0.306055
0018436A,11/104,48.7159,122.493,0.30533
0006011B,11/11,48.6361,122.475,0.310118
0000584A,11/2,48.4933,122.347,0.31488
0000397A,11/4,48.5169,122.379,0.314485
0016812A,11/6.25,48.5651,122.422,0.312142
0001496A,11/7,48.5981,122.422,0.308627
0000825A,11/8,48.6178,122.44,0.308504
0015597A,11/8.3,48.6239,122.452,0.30903
0015597B,11/8.5,48.6239,122.452,0.30903
0003732A,11/9,48.63,122.468,0.310033
0012104A,12/102,46.8266,123.152,0.418327
0015666A,12/104C,46.8258,123.139,0.417248
0001000A,12/106,46.8252,123.13,0.416529
0001000B,12/108,46.8228,123.107,0.414569
0001000C,12/111,46.8165,123.067,0.410623
0007406A,12/114,46.8026,123.043,0.40617
0017998A,12/117,46.8026,123.009,0.404
0017998B,12/118,46.8027,123.008,0.403922
0002311A,12/12N,46.9771,123.811,0.50427
000000LM,12/12S,46.976,123.812,0.504214
0001679A,12/15,46.9782,123.791,0.502365
0005678A,12/221,46.5467,122.875,0.341648
00200092,12/223.25,46.545,122.823,0.339217
0005510A,12/224.25,46.5382,122.774,0.336143
0000446A,12/226,46.5322,122.74,0.333986
0002328A,12/230,46.5333,122.617,0.330829
0016540A,12/232C,46.5165,122.582,0.327148
0006542A,12/234,46.5154,122.568,0.326705
0002329A,12/236,46.5343,122.54,0.329171
00200093,12/237.25,46.5329,122.494,0.327874
0008154A,12/238,46.5385,122.469,0.328069
0007973A,12/240,46.542,122.439,0.327852
0007973B,12/241,46.5404,122.434,0.327478
0007952A,12/245,46.5541,122.293,0.325152
0004087A,12/249,46.5492,122.269,0.323589
00200094,12/249.25,46.5473,122.266,0.323207
0001949A,12/25,46.9766,123.644,0.486149
0007772A,12/251,46.5085,122.197,0.315018
0000858A,12/254,46.5376,122.113,0.315926
0005609A,12/255,46.539,122.102,0.315671
0007463A,12/256,46.5415,122.094,0.315746
0010567A,12/257.25,46.5461,122.081,0.315975
0000961A,12/258,46.5429,122.048,0.314122
0000961C,12/259.25,46.5382,121.983,0.310714
0014251A,12/260.25,46.5465,121.972,0.311795
0005378A,12/261,46.5342,121.924,0.307496
0005544A,12/262,46.534,121.905,0.306534
0005544B,12/263,46.5335,121.842,0.303369
0005378B,12/264,46.5349,121.815,0.302545
0003348A,12/265,46.5351,121.795,0.301365
0005889A,12/266,46.5342,121.788,0.300723
00200058,12/266.75,46.5336,121.783,0.300245
0005889B,12/267,46.5336,121.779,0.300042
00200380,12/267.75,46.5342,121.776,0.299983
0015677A,12/269.25,46.565,121.712,0.304115
0006681A,12/271,46.5684,121.705,0.304617
0006681B,12/272,46.5717,121.698,0.305028
0000952A,12/273,46.5791,121.688,0.306193
0007117A,12/276,46.6333,121.642,0.315149
0001287A,12/278,46.6487,121.614,0.316045
0013795A,12/28,46.9752,123.622,0.483677
0009153A,12/280,46.67,121.588,0.317688
0009138A,12/282,46.6782,121.576,0.317709
0012115A,12/284,46.6923,121.559,0.318302
0014737A,12/287,46.6776,121.527,0.310457
0008416A,12/288,46.6715,121.503,0.305747
0003636A,12/289,46.6625,121.481,0.299755
0014473A,12/301.25,46.642,121.383,0.275611
000000LE,12/302.25,46.6432,121.38,0.275166
000000LF,12/303.25,46.649,121.375,0.275148
0003105A,12/304,46.6562,121.355,0.271506
0002513A,12/306,46.6452,121.251,0.243948
0002138A,12/308,46.6556,121.131,0.217659
0002219A,12/309,46.6653,121.125,0.217152
0013754A,12/310C,46.673,121.085,0.209465
0017743A,12/316,46.6926,120.922,0.181974
0017743B,12/317,46.695,120.913,0.180679
0014234A,12/319C,46.725,120.812,0.168427
0008172B,12/31N,46.9733,123.612,0.482356
0008172A,12/31S,46.9737,123.615,0.482676
0014917A,12/320,46.7461,120.788,0.166433
00200032,12/321C,46.7484,120.777,0.165433
0001843A,12/323N,46.6961,120.654,0.153169
0008604A,12/323S,46.6961,120.654,0.153169
0008604B,12/324.25,46.6952,120.654,0.153097
0005742A,12/328N,46.6322,120.587,0.146633
0007874A,12/328S,46.6322,120.587,0.146649
0001603A,12/329,46.6278,120.577,0.146002
0008709C,12/330.25,46.6219,120.564,0.145137
0008709E,12/330E-E,46.6217,120.564,0.145127
0008709D,12/330W-W,46.6226,120.565,0.145174
0008709A,12/331N,46.6224,120.565,0.14519
0008709B,12/331S,46.6222,120.564,0.145135
0008846B,12/342N,46.6232,120.561,0.144984
0008846A,12/342S,46.6229,120.561,0.144975
0008846C,12/344,46.6242,120.532,0.143323
0008846E,12/346N,46.6262,120.52,0.142712
0008846D,12/346S,46.626,120.52,0.142707
0008616B,12/348N,46.6262,120.512,0.142261
0008616A,12/348S,46.626,120.512,0.142256
0008374B,12/34N,46.9755,123.601,0.481559
0008374A,12/34S,46.9755,123.601,0.481559
0008616C,12/350,46.6264,120.509,0.142059
0013670A,12/47.25,46.9793,123.58,0.480336
00200449,12/47.75,46.9829,123.562,0.479372
0007612B,12/48N,46.9967,123.5,0.476428
0007612A,12/48S,46.9973,123.503,0.476765
0007612D,12/49N,46.9988,123.498,0.476666
0007612C,12/49S,46.9986,123.498,0.476635
0014916A,12/502,46.2393,119.057,0.110426
0007612F,12/50N,46.9983,123.497,0.476462
0007612E,12/50S,46.9991,123.496,0.476579
0003762A,12/512N,46.2177,119.025,0.110293
0012800A,12/512S,46.2173,119.025,0.110304
0007612H,12/51N,46.9998,123.493,0.476441
0007612G,12/51S,46.9996,123.493,0.476433
0007786B,12/53N,46.9991,123.471,0.474594
0007786A,12/53S,46.9989,123.471,0.474554
0009337A,12/57,47.0006,123.403,0.4696
0007327B,12/59N,47.003,123.395,0.469487
0007327A,12/59S,47.0028,123.395,0.469445
0016449A,12/603,46.1645,118.948,0.110243
0009781A,12/606N,46.1066,118.915,0.110676
0017082A,12/606S,46.1064,118.915,0.11068
0011840A,12/609,46.0698,118.908,0.110711
0007106B,12/60N,47.0052,123.388,0.469374
0007106A,12/60S,47.0051,123.388,0.469342
0002236A,12/61,47.0041,123.387,0.469093
000000MH,12/610,46.0683,118.908,0.110712
000000MI,12/612,46.0606,118.909,0.110718
0010557A,12/616,46.066,118.836,0.110733
0000302A,12/619,46.0722,118.786,0.110753
0001724B,12/620,46.0712,118.781,0.110766
0002241A,12/624,46.0415,118.684,0.111185
0002241D,12/630,46.0528,118.616,0.111382
0002241E,12/631,46.0531,118.612,0.111393
0006551A,12/633,46.0568,118.591,0.111424
0017474A,12/639N,46.0698,118.369,0.111639
0017474B,12/639S,46.0697,118.369,0.111639
0002236B,12/64,46.9567,123.327,0.45597
0009110A,12/640,46.0695,118.357,0.111611
0009110B,12/642,46.0698,118.354,0.111601
0009110C,12/643,46.0699,118.352,0.111594
0008906A,12/645,46.0721,118.345,0.111553
0008855A,12/647,46.0768,118.338,0.111484
0008855B,12/650,46.0819,118.31,0.111365
0008855C,12/652,46.0839,118.284,0.111188
0008855D,12/654,46.0879,118.261,0.110945
00200297,12/656.25,46.1182,118.216,0.10993
0016568A,12/657,46.1215,118.208,0.109775
0004598A,12/659,46.1367,118.167,0.108829
0002236C,12/66,46.9378,123.311,0.451145
0008527A,12/660,46.1405,118.154,0.108542
00200298,12/662.25,46.2063,118.138,0.10643
00200295,12/663.25,46.2274,118.137,0.105655
0016988A,12/666,46.2624,118.153,0.104588
0001504A,12/669,46.2701,118.151,0.104279
00200296,12/670.25,46.2751,118.122,0.10369
0002236D,12/68,46.9029,123.291,0.44294
0001576A,12/70,46.8795,123.272,0.436861
000000DX,12/702.25,46.2867,118.106,0.10305
00200403,12/704.25,46.2888,118.094,0.102786
0007856A,12/706,46.2891,118.081,0.10253
0007436A,12/708.25,46.29,118.029,0.101521
0007856B,12/710,46.3184,117.984,0.0995329
0010462A,12/712,46.3244,117.973,0.0990609
0001687B,12/713,46.3252,117.973,0.0990297
0001687C,12/714,46.3271,117.974,0.0989909
0000307A,12/720,46.3811,117.939,0.0961935
00200294,12/723.25,46.4289,117.947,0.0946093
0008129A,12/725,46.4886,117.961,0.0927918
0001576B,12/73,46.8479,123.249,0.428892
00200383,12/735.25,46.5047,117.974,0.0924223
00200293,12/745.25,46.5152,117.942,0.0916382
00200292,12/750.25,46.5469,117.883,0.0898453
0001576C,12/76,46.8301,123.186,0.421238
0012999A,12/78,46.8273,123.163,0.419125
0000422A,12/802,46.5253,117.827,0.0895888
00200291,12/804.25,46.5076,117.784,0.089362
00200290,12/806.25,46.4468,117.447,0.0851032
0007418A,12/810,46.4367,117.325,0.0834705
0009660A,12/903,46.4119,117.214,0.0822836
00000WLM,12/903P,46.4083,117.213,0.0823032
0002348A,12/915,46.4203,117.038,0.0805033
0012156E,14/1,45.6234,122.672,0.26366
0006929A,14/10,45.6157,122.613,0.261528
0001444A,14/103,45.5749,122.195,0.210186
0001151A,14/104,45.5766,122.195,0.210167
0001047A,14/107,45.6132,122.055,0.197025
0001236A,14/109,45.6213,122.03,0.194948
000093CE,14/111,45.6409,121.983,0.191313
000120CE,14/112,45.6404,121.978,0.190983
000064CE,14/113,45.6414,121.969,0.190258
000034CE,14/115,45.6516,121.923,0.186801
0002355A,14/118,45.69,121.888,0.184211
0008598A,14/12,45.6109,122.586,0.260508
0012630A,14/122,45.7161,121.792,0.177247
0014259A,14/126,45.7115,121.649,0.166344
0002051A,14/128,45.7111,121.625,0.164514
0002051B,14/129,45.7147,121.619,0.164196
0009485A,14/13,45.6058,122.561,0.259118
0002051C,14/130,45.7178,121.611,0.163658
0002042A,14/131,45.7186,121.609,0.163518
0002058A,14/132,45.7207,121.601,0.16303
0002042B,14/133,45.7202,121.598,0.162786
0002042C,14/134,45.7201,121.585,0.161921
0001915A,14/137,45.7246,121.558,0.160198
0009857A,14/14E-N,45.6047,122.556,0.258838
0014461A,14/15,45.5918,122.504,0.25747
0005044A,14/18,45.5873,122.486,0.256484
0012156F,14/1W-N,45.6238,122.67,0.263508
0016115A,14/20,45.5848,122.474,0.255746
0008842A,14/201,45.7287,121.522,0.157873
0015470A,14/205.25,45.7187,121.474,0.154547
0001727A,14/212,45.6969,121.292,0.143794
0001735A,14/215,45.69,121.275,0.142859
0001735B,14/216,45.6874,121.274,0.142795
0007595A,14/22,45.5809,122.43,0.250074
0001492A,14/221,45.6485,121.105,0.134251
0001492B,14/222,45.6489,121.103,0.134177
00200140,14/225.25,45.6643,120.992,0.129867
0007595B,14/23,45.5804,122.429,0.24991
0006790B,14/230.25,45.709,120.782,0.124127
0006790A,14/240,45.7033,120.461,0.12073
0006790C,14/245.25,45.7206,120.316,0.120968
0006790D,14/245.75,45.7232,120.314,0.121031
0005849A,14/247,45.75,120.2,0.121712
00200051,14/248C,45.79,120.085,0.12268
0007138A,14/25,45.5777,122.423,0.249368
000000OD,14/250,45.8358,119.929,0.12292
0018105A,14/27N,45.5772,122.404,0.24508
0018105B,14/28,45.5801,122.386,0.241121
0018105C,14/29,45.5805,122.378,0.239547
00200415,14/29.25,45.576,122.354,0.234474
0012156H,14/2A,45.6216,122.67,0.263783
0012156G,14/2W-N,45.6228,122.669,0.263609
0009275A,14/30,45.5748,122.343,0.232518
000000OE,14/302,45.8696,119.825,0.122479
0006565A,14/306,45.8942,119.693,0.12058
0009275B,14/34,45.5714,122.316,0.227678
0009275C,14/35,45.5715,122.302,0.224807
0000902A,14/38,45.5616,122.267,0.219795
00200387,14/3P,45.6207,122.667,0.263708
0014662A,14/5,45.6184,122.652,0.26319
0003418A,16/110E,47.2647,122.546,0.43011
0016441A,16/110W,47.264,122.547,0.430031
0016441B,16/115,47.2799,122.561,0.435061
0009245A,16/120,47.3053,122.576,0.442784
0009380A,16/125,47.321,122.59,0.449771
0009151A,16/12E,47.2353,122.475,0.417139
0009151B,16/12W,47.2348,122.474,0.417044
0003639A,16/130E,47.3302,122.599,0.453971
0008694A,16/130W,47.3303,122.599,0.454062
0012617A,16/140,47.3586,122.615,0.467177
0010280A,16/150E,47.371,122.619,0.473129
0010280B,16/150W,47.3713,122.619,0.473303
0010280C,16/155,47.389,122.617,0.480668
