structure_id,bridge_no,latitude,longitude,pga
0008176A,2/7W-W,47.9785,122.137,0.353263
0018286A,2/8.5N-W,47.9594,122.122,0.355303
0013995E,2/8E-E,47.978,122.137,0.353493
0011298A,2/9,47.9546,122.115,0.354774
0005604A,3/10,47.2646,123.012,0.476539
0013166C,3/103N,47.5268,122.702,0.494592
0013166A,3/104,47.5281,122.699,0.494526
00200319,3/104.25,47.5281,122.699,0.494526
0005604B,3/11,47.2659,123.005,0.476218
0009203A,3/114,47.5581,122.672,0.491081
0009476A,3/116P,47.5641,122.678,0.489553
0012352A,3/118E,47.5693,122.684,0.488234
0009476B,3/118W,47.5693,122.684,0.488233
0007883A,3/120,47.5819,122.695,0.485312
0007883B,3/123E,47.5965,122.699,0.48201
0007883C,3/123W,47.5964,122.699,0.482021
0008976A,3/124E,47.6033,122.709,0.479465
0008976B,3/124W,47.6031,122.709,0.479594
0009269A,3/126,47.6161,122.713,0.472834
0009269B,3/128E,47.6367,122.707,0.462144
0009269C,3/128W,47.6367,122.708,0.462153
0010729A,3/130E,47.6537,122.705,0.454056
0009124A,3/130W,47.6537,122.706,0.454075
0011591A,3/137,47.6786,122.692,0.443767
0011375A,3/139,47.6938,122.688,0.43763
0011864B,3/140A,47.7012,122.692,0.435216
0011375B,3/140E,47.701,122.685,0.434832
0011375D,3/140N-W,47.7006,122.684,0.434925
0011375C,3/140W,47.7011,122.685,0.434828
0011375E,3/142,47.7278,122.677,0.427461
0014276A,3/145,47.7531,122.664,0.420527
0004133A,3/15,47.375,122.836,0.498612
0014066A,3/150E,47.7582,122.656,0.41917
0014066B,3/150W,47.7583,122.657,0.419189
0016194A,3/19.25,47.4382,122.836,0.502274
0000451A,3/2,47.1929,123.099,0.475891
0000729A,3/3,47.2092,123.101,0.477679
0003458A,3/8,47.2481,123.045,0.476423
0013358A,4/102,46.3356,123.703,0.407687
0013358B,4/104,46.3317,123.695,0.405872
00200121,4/105.25,46.3353,123.643,0.395065
0003381A,4/106A,46.3294,123.639,0.393624
0001891A,4/108,46.3561,123.605,0.387655
0002331A,4/110,46.3591,123.567,0.380116
0002331B,4/111,46.3586,123.566,0.379864
0002331C,4/112,46.3583,123.564,0.379618
0002331D,4/113,46.3579,123.563,0.379322
00200122,4/113.25,46.3106,123.481,0.359727
0002330A,4/118,46.2893,123.467,0.355592
0016098B,4/119.25,46.2801,123.463,0.354217
0002457A,4/120,46.2704,123.457,0.352317
0004999A,4/125,46.229,123.394,0.339174
00200504,4/125.25,46.2256,123.393,0.338763
00200505,4/126C,46.2236,123.393,0.338516
0007266A,4/130A,46.2192,123.354,0.333138
00200503,4/2,46.3909,123.827,0.439768
0016098A,4/2.25,46.3777,123.808,0.434297
0007004A,4/204,46.1887,123.176,0.310022
0001334A,4/205,46.1911,123.168,0.309377
0001442A,4/208,46.1895,123.136,0.306123
0001442B,4/209,46.1891,123.134,0.305918
0011701A,4/210,46.1899,123.125,0.305114
0007399A,4/215,46.1781,123.031,0.296071
00200109,4/220.25,46.1761,123.025,0.295418
0003717A,4/230,46.1473,122.918,0.285527
00200120,4/4.25,46.3768,123.796,0.431513
00200085,4/5.75,46.3717,123.785,0.428656
0013040A,4/6,46.368,123.781,0.427491
0013040B,4/7,46.3592,123.763,0.422845
0010694B,5/10,45.6451,122.662,0.260821
0007064A,5/102E,45.9056,122.742,0.258854
0007064B,5/102W,45.9055,122.742,0.258866
00200084,5/104.75,45.9333,122.762,0.261204
0008952C,5/104A,45.9273,122.757,0.260642
0004885A,5/104E,45.9275,122.756,0.260577
0008952A,5/104W,45.9268,122.756,0.260586
0008952B,5/104W-S,45.9261,122.757,0.2606
0008952D,5/105W,45.96,122.806,0.265191
0008759A,5/107E,45.9783,122.822,0.266938
0008759B,5/107W,45.9801,122.825,0.267223
0008287A,5/109E,46.0074,122.845,0.269731
0008287B,5/109W,46.0073,122.846,0.269747
0010694C,5/11,45.6498,122.662,0.26039
0008287C,5/110,46.0184,122.85,0.270784
0008759C,5/112E,46.0356,122.857,0.272413
0008759D,5/112W,46.0347,122.857,0.272375
0008759E,5/113,46.0412,122.86,0.272981
0009136A,5/117E,46.091,122.87,0.276956
0009136B,5/117W,46.091,122.871,0.276977
0010750A,5/118E,46.1249,122.892,0.281545
0006025A,5/118N-W,46.1051,122.876,0.278462
0017835A,5/118S-W,46.1071,122.883,0.279086
0010750B,5/118W,46.1244,122.892,0.281476
0010750C,5/119.25,46.1305,122.899,0.282523
0010750D,5/120E,46.1316,122.899,0.282627
0010750E,5/120W,46.1319,122.899,0.282672
0010902A,5/121,46.1338,122.899,0.282873
0010902B,5/122E,46.137,122.898,0.28314
0010902C,5/122W,46.1367,122.898,0.28314
0010902D,5/123E,46.1445,122.897,0.283886
0010902E,5/123W,46.1444,122.898,0.283894
0010902F,5/125,46.1523,122.902,0.284911
0010495B,5/126E,46.157,122.902,0.285362
0010495A,5/126W,46.1568,122.902,0.285374
0009597A,5/127E,46.1758,122.903,0.287107
0009597B,5/127W,46.1757,122.903,0.287141
0009597C,5/128,46.1843,122.898,0.287631
0009597D,5/129,46.1919,122.896,0.288198
0015661D,5/12BP,45.6565,122.664,0.25992
0015661A,5/13,45.6576,122.664,0.259848
00200098,5/130C,46.1947,122.894,0.288356
0009597E,5/131,46.2338,122.888,0.292805
0009580E,5/133.25,46.2742,122.896,0.298091
0009580A,5/133E,46.2597,122.887,0.295953
0009580B,5/133W,46.2597,122.887,0.295976
0009580C,5/134,46.2755,122.898,0.298321
0015661E,5/13S-S,45.6585,122.666,0.259879
0008335A,5/140E,46.3105,122.914,0.303669
0008335B,5/140W,46.31,122.913,0.30358
0008335C,5/145,46.3241,122.913,0.30569
00200087,5/146.25,46.385,122.903,0.314103
0015661B,5/15,45.6601,122.665,0.259705
0015661F,5/17,45.6679,122.667,0.259097
0015661G,5/18,45.6787,122.664,0.257924
0012156A,5/2,45.6225,122.672,0.2638
0014329A,5/20,45.6935,122.661,0.25641
0009964A,5/200,46.3904,122.902,0.314834
0004367A,5/203E,46.4129,122.89,0.318011
0004367B,5/203W,46.4129,122.89,0.318013
0004375A,5/206,46.4452,122.888,0.323679
0010411A,5/210,46.5179,122.877,0.336116
0010173A,5/212,46.5617,122.877,0.344554
0005678C,5/213.25,46.5824,122.887,0.348873
0005678D,5/213N-E,46.5821,122.886,0.348788
00200138,5/214.25,46.5924,122.897,0.351195
0004204A,5/216E,46.5981,122.902,0.352517
0004204B,5/216W,46.5981,122.902,0.35252
00200139,5/217.75,46.6192,122.924,0.358242
0004363A,5/217E,46.6054,122.907,0.354304
0004363B,5/217W,46.6053,122.907,0.354299
0017324A,5/218,46.6263,122.933,0.360295
00200086,5/219C,46.6273,122.934,0.360573
0017324C,5/219S-E,46.627,122.935,0.360533
0017324B,5/219W-N,46.6276,122.934,0.360605
0005668A,5/220,46.6458,122.959,0.366056
00200083,5/220.25,46.647,122.961,0.366437
00200088,5/220.26,46.6472,122.961,0.36648
0012597A,5/221,46.6509,122.969,0.367757
0011336A,5/222,46.6546,122.975,0.368885
0011430A,5/223,46.6587,122.978,0.369947
0010134B,5/223N-W,46.66,122.977,0.370143
0004337A,5/225,46.6666,122.98,0.371771
0005668B,5/227,46.6755,122.976,0.373382
0003936A,5/228,46.691,122.97,0.37638
0016610A,5/22E,45.7053,122.655,0.254996
0016610B,5/22W,45.7053,122.655,0.255024
0016610C,5/23,45.7145,122.653,0.254305
0003922A,5/230,46.7117,122.976,0.381406
0004082A,5/230.25,46.713,122.975,0.381679
0011757A,5/232E,46.7208,122.976,0.383575
0018272A,5/232NCD,46.7208,122.976,0.383573
0018272B,5/232SCD,46.7208,122.977,0.383602
0011757B,5/232W,46.7208,122.977,0.383585
0009251A,5/233,46.727,122.977,0.385084
0018473A,5/234E,46.7347,122.975,0.3868
0018272C,5/234W,46.7355,122.975,0.386996
0014323A,5/24,45.7182,122.655,0.254328
0018311A,5/24.5,45.7216,122.657,0.254316
0018311B,5/24.5NN,45.7207,122.654,0.25406
0018311C,5/24.5SS,45.7216,122.656,0.254213
0005818A,5/25E,45.722,122.655,0.25408
0005818B,5/25W,45.7219,122.655,0.254106
0006510A,5/28E,45.7505,122.663,0.253194
0008055A,5/28W,45.7505,122.663,0.253226
0008055B,5/29,45.7651,122.668,0.253314
0012156B,5/3,45.6234,122.671,0.263602
0017903A,5/300.25,46.7685,122.995,0.39581
0008271A,5/301,46.7756,123,0.39767
0017465A,5/302E,46.7974,123.01,0.402996
0017465B,5/302W,46.7973,123.01,0.403012
0008271B,5/304,46.8226,122.996,0.407133
0017465C,5/305,46.8297,122.991,0.408164
0017465D,5/308,46.8965,122.961,0.418822
0008271C,5/309,46.9236,122.946,0.422542
0008055C,5/31,45.7937,122.676,0.253315
0012994A,5/311.5,46.981,122.927,0.430799
0013701A,5/312,46.9856,122.923,0.431255
0013095A,5/313P,46.9898,122.919,0.431627
0013692A,5/314,46.9999,122.913,0.4328
0004887A,5/315,47.0069,122.908,0.433417
0004950A,5/316,47.0165,122.906,0.434663
0005129A,5/320,47.0207,122.906,0.435249
0005090A,5/321,47.0235,122.904,0.435435
0005152A,5/322,47.0249,122.899,0.435206
0005285A,5/323,47.0285,122.895,0.435423
0005366A,5/324,47.0307,122.893,0.435557
0012835D,5/324W-S,47.0313,122.893,0.435633
0012835A,5/325,47.0336,122.891,0.435785
0005295C,5/325A,47.0345,122.892,0.435997
0012835B,5/325N-W,47.0316,122.891,0.435446
